ufn,spp,date,site.id,survey.id,seine.id,weight,length.lab,length.field,licing.protocol,cal.cop,lep.cop,unid.cop,chal.a,chal.b,chal.unid,cal.m,cal.paf,cal.af,cal.mot.unid.notgf,cal.mot.notgf,cal.gf,lep.pam,lep.paf,lep.am,lep.af,lep.gf,lep.mot.unid.notgf,comments
U2643,PI,15/06/16,J09,JE181,JN281,15.1,NA,NA,lab_motiles,NA,NA,NA,NA,NA,NA,0,0,0,1,1,0,0,0,0,0,0,0,NA
U2644,PI,15/06/16,J09,JE181,JN281,13.5,NA,NA,lab_motiles,NA,NA,NA,NA,NA,NA,0,0,1,0,1,0,0,0,0,0,0,0,NA
U2847,PI,15/06/16,J09,JE181,JN281,12.7,112,NA,lab_motiles,NA,NA,NA,NA,NA,NA,0,0,0,0,0,2,0,0,0,0,0,0,NA
U2848,PI,15/06/16,J09,JE181,JN281,17.3,125,NA,lab_motiles,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA
U2849,PI,15/06/16,J09,JE181,JN281,16,122,NA,lab_motiles,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA
U2850,PI,15/06/16,J09,JE181,JN281,24.9,132,NA,lab_motiles,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA
U1274,SO,15/06/16,J09,JE181,JN281,16.5,115,NA,lab_finescale,0,0,NA,3,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA
U1273,SO,15/06/16,J09,JE181,JN281,NA,108,NA,lab_finescale,0,1,NA,3,2,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA
U1275,SO,15/06/16,J09,JE181,JN281,20.3,122,NA,lab_finescale,1,0,NA,4,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA
U1283,SO,15/06/16,J09,JE181,JN281,16.2,107,NA,lab_finescale,0,0,NA,1,3,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA
U1284,SO,15/06/16,J09,JE181,JN281,17.7,127,NA,lab_finescale,2,1,NA,5,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA
U1286,SO,15/06/16,J09,JE181,JN281,13.5,107,NA,lab_finescale,0,0,NA,5,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA
U1285,SO,15/06/16,J09,JE181,JN281,15.6,105,NA,lab_finescale,1,0,NA,3,1,NA,1,0,0,0,1,0,1,0,0,0,0,0,NA
U1276,SO,15/06/16,J09,JE181,JN281,12.7,106,NA,lab_finescale,1,0,NA,3,3,NA,0,1,0,0,1,0,0,0,0,0,0,0,NA
U1238,SO,15/06/16,J09,JE181,JN281,18.8,117,NA,lab_finescale,1,0,NA,1,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA
U1237,SO,15/06/16,J09,JE181,JN281,11.7,107,NA,lab_finescale,1,0,NA,2,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA
U3082,CU,15/06/19,J02,JE191,JN291,26.4,137,NA,lab_motiles,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA
U3083,CU,15/06/19,J02,JE191,JN291,28.1,142,NA,lab_motiles,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA
U3084,CU,15/06/19,J02,JE191,JN291,33.9,148,NA,lab_motiles,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA
U3085,CU,15/06/19,J02,JE191,JN291,22.7,NA,NA,lab_motiles,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA
U3086,CU,15/06/19,J02,JE191,JN291,27.5,135,NA,lab_motiles,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA
U2658,PI,15/06/19,J02,JE191,JN291,19.8,126,NA,lab_motiles,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA
U2659,PI,15/06/19,J02,JE191,JN291,11.5,105,NA,lab_motiles,NA,NA,NA,NA,NA,NA,0,1,0,0,1,0,0,0,0,0,0,0,NA
U2891,PI,15/06/19,J02,JE191,JN291,23.9,133,NA,lab_motiles,NA,NA,NA,NA,NA,NA,0,0,1,0,1,1,0,0,0,0,0,0,NA
U2892,PI,15/06/19,J02,JE191,JN291,16.2,118,NA,lab_motiles,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA
U2893,PI,15/06/19,J02,JE191,JN291,19.4,124,NA,lab_motiles,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,0,0,NA
U2894,PI,15/06/19,J02,JE191,JN291,29.5,NA,NA,lab_motiles,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA
U2895,PI,15/06/19,J02,JE191,JN291,15.6,NA,NA,lab_motiles,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA
U2896,PI,15/06/19,J02,JE191,JN291,26.2,136,NA,lab_motiles,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA
U2897,PI,15/06/19,J02,JE191,JN291,12.6,107,NA,lab_motiles,NA,NA,NA,NA,NA,NA,0,0,1,0,1,0,0,0,0,0,0,0,NA
U2898,PI,15/06/19,J02,JE191,JN291,9.3,NA,NA,lab_motiles,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA
U647,SO,15/06/19,J02,JE191,JN291,23.8,139,NA,lab_finescale,1,1,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA
U649,SO,15/06/19,J02,JE191,JN291,17.2,106,NA,lab_finescale,3,1,NA,3,5,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA
U624,SO,15/06/19,J02,JE191,JN291,23.7,135,NA,lab_finescale,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA
U626,SO,15/06/19,J02,JE191,JN291,19.5,126,NA,lab_finescale,3,0,NA,0,1,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA
U655,SO,15/06/19,J02,JE191,JN291,21.5,131,NA,lab_finescale,0,0,NA,1,2,NA,0,2,1,0,3,0,0,0,0,0,0,0,NA
U656,SO,15/06/19,J02,JE191,JN291,NA,132,NA,lab_finescale,0,0,NA,2,2,NA,1,0,0,0,1,0,0,0,0,0,0,0,NA
U657,SO,15/06/19,J02,JE191,JN291,21.8,125,NA,lab_finescale,2,0,NA,0,0,NA,1,0,0,0,1,0,0,0,0,0,0,0,NA
U625,SO,15/06/19,J02,JE191,JN291,19.9,131,NA,lab_finescale,2,1,NA,3,4,NA,2,0,0,0,2,0,0,0,0,0,0,0,NA
