ufn,spp,date,site.id,survey.id,seine.id,cal.cop,lep.cop,unid.cop,chal.a,chal.b,chal.unid,cal.m,cal.paf,cal.af,cal.mot.unid.notgf,cal.mot.notgf,cal.gf,lep.pam,lep.paf,lep.am,lep.af,lep.gf,lep.mot.unid.notgf,comments,licing.protocol,weight,length.lab,length.field
U4973,CU,2015-05-19,D08,DE111,DN211,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_motiles,13.4,109,NA
U4974,CU,2015-05-19,D08,DE111,DN211,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_motiles,12.8,108,NA
U4975,CU,2015-05-19,D08,DE111,DN211,NA,NA,NA,NA,NA,NA,1,0,0,0,1,0,0,0,0,0,0,0,NA,lab_motiles,NA,120,NA
U4976,CU,2015-05-19,D08,DE111,DN211,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_motiles,15.8,114,NA
U4977,CU,2015-05-19,D08,DE111,DN211,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_motiles,16.1,116,NA
U4978,CU,2015-05-19,D08,DE111,DN211,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,0,0,0,0,NA,lab_motiles,7.2,89,NA
U4704,SO,2015-05-19,D08,DE111,DN211,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_motiles,7.4,97,NA
U4705,SO,2015-05-19,D08,DE111,DN211,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_motiles,7.7,95,NA
U4706,SO,2015-05-19,D08,DE111,DN211,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_motiles,7.4,94,NA
U4750,SO,2015-05-19,D08,DE111,DN211,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_motiles,20,127,NA
U4751,SO,2015-05-19,D08,DE111,DN211,NA,NA,NA,NA,NA,NA,0,0,0,1,1,0,0,0,0,0,0,0,NA,lab_motiles,11.3,108,NA
U4828,SO,2015-05-19,D08,DE111,DN211,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_motiles,9.2,104,NA
U4829,SO,2015-05-19,D08,DE111,DN211,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_motiles,10.3,107,NA
U4830,SO,2015-05-19,D08,DE111,DN211,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_motiles,13,112,NA
U4831,SO,2015-05-19,D08,DE111,DN211,NA,NA,NA,NA,NA,NA,2,0,0,0,2,0,0,0,0,0,0,0,NA,lab_motiles,9.1,99,NA
U4862,SO,2015-05-19,D08,DE111,DN211,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_motiles,11.1,108,NA
U273,SO,2015-05-19,D08,DE111,DN211,1,0,NA,1,2,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_finescale,9.4,96,NA
U274,SO,2015-05-19,D08,DE111,DN211,0,0,NA,2,3,NA,1,0,0,0,1,0,0,0,0,0,0,0,NA,lab_finescale,9.6,96,NA
U281,SO,2015-05-19,D08,DE111,DN211,0,0,NA,2,2,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_finescale,8.9,97,NA
U284,SO,2015-05-19,D08,DE111,DN211,2,0,NA,2,4,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_finescale,5.2,76,NA
U285,SO,2015-05-19,D08,DE111,DN211,0,0,NA,3,3,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,lab_finescale,9.2,95,NA
