seine_id,survey_id,set_number,set_type,time_searching,set_time,lat,lon,set_sliders,set_poppers,set_dimpling,fish_retained,so_taken,so_total,pi_taken,pi_total,cu_taken,cu_total,co_taken,co_total,he_taken,he_total,ck_taken,ck_total,preservation_status,collection_protocol,seine_comments
JE105N1,JE105,1,targeted,NA,NA,NA,NA,NA,NA,NA,No,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEMSP,NA
JN206,JE106,4,targeted,10,13:50:00,50.52222,-126.39167,NA,NA,NA,Yes,30,150,0,0,2,2,10,10,1,1,NA,NA,0,SEMSP,NA
JE106N1,JE106,1,targeted,NA,NA,NA,NA,NA,NA,NA,No,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEMSP,NA
JE106N2,JE106,2,targeted,NA,NA,NA,NA,NA,NA,NA,No,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEMSP,NA
JE106N3,JE106,3,targeted,NA,NA,NA,NA,NA,NA,NA,No,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEMSP,NA
JN207,JE107,2,targeted,0,06:00:00,50.54648,-126.67096,NA,NA,NA,Yes,30,300,0,0,0,0,0,0,0,0,NA,NA,0,SEMSP,"all fish samples labelled ""J0CP"" for now, will need to be hanged once site name confirmed J03"
JE107N1,JE107,1,targeted,NA,NA,NA,NA,NA,NA,NA,No,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEMSP,NA
JN208,JE108,2,targeted,0,09:00:00,50.54039,-126.78096,NA,NA,NA,Yes,30,200,0,0,10,25,8,8,5,5,NA,NA,0,SEMSP,NA
JE108N1,JE108,1,targeted,NA,NA,NA,NA,NA,NA,NA,No,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEMSP,NA
JN209,JE109,3,targeted,0,12:35:00,50.55787,-126.73532,NA,NA,NA,Yes,30,1200,0,0,10,20,0,0,0,0,NA,NA,0,SEMSP,NA
JE109N1,JE109,1,targeted,NA,NA,NA,NA,NA,NA,NA,No,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEMSP,NA
JE109N2,JE109,2,targeted,NA,NA,NA,NA,NA,NA,NA,No,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEMSP,NA
JN210,JE110,2,targeted,1,06:25:00,50.60101,-126.70394,NA,NA,NA,Yes,30,400,0,0,7,7,1,1,0,0,NA,NA,1,SEMSP,NA
JE110N1,JE110,1,targeted,NA,NA,NA,NA,NA,NA,NA,No,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEMSP,NA
JN212,JE112,1,targeted,5,14:00:00,50.47696,-126.0273,NA,NA,NA,Yes,30,400,0,0,2,2,0,0,0,0,NA,NA,1,SEMSP,NA
JN213,JE113,1,targeted,1,05:40:00,50.49853,-126.21348,NA,NA,NA,Yes,30,300,0,0,10,150,0,0,4,4,NA,NA,1,SEMSP,NA
JN214,JE114,1,targeted,70,09:50:00,50.52363,-126.39046,NA,NA,NA,Yes,30,800,2,2,10,50,4,4,0,0,NA,NA,1,SEMSP,NA
JN215,JE115,1,targeted,25,13:00:00,50.48103,-126.41291,NA,NA,NA,Yes,30,40,0,0,10,15,1,1,3,3,NA,NA,1,SEMSP,NA
JN216,JE116,1,targeted,1,05:45:00,50.45622,-126.11838,NA,NA,NA,Yes,30,1000,0,0,10,200,1,1,5,5,NA,NA,1,SEMSP,"unknown salmonid bycatch not sockeye, chum, pink, coho, or chinook"
JN217,JE117,2,targeted,1,09:35:00,50.54672,-126.67256,NA,NA,NA,Yes,30,1000,0,0,10,30,1,1,0,0,NA,NA,1,SEMSP,NA
JE117N1,JE117,1,targeted,NA,NA,NA,NA,NA,NA,NA,No,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEMSP,NA
JN218,JE118,1,targeted,2,12:55:00,50.53989,-126.78256,NA,NA,NA,Yes,30,1500,1,1,10,100,0,0,1,1,NA,NA,1,SEMSP,NA
JN219,JE119,1,targeted,40,06:00:00,50.55951,-126.75326,NA,NA,NA,Yes,30,100,0,0,10,30,10,20,0,0,NA,NA,1,SEMSP,NA
JN222,JE122,2,targeted,10,13:15:00,50.53957,-126.7781,NA,NA,NA,Yes,30,2000,0,0,10,200,6,10,2,3,NA,NA,1,SEMSP,small hole in the bunt. Lots of fish escaped. May have been more herring and coho originally. School > 2000
JE122N1,JE122,1,targeted,NA,NA,NA,NA,NA,NA,NA,No,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEMSP,NA
JN223,JE123,3,targeted,70,05:35:00,50.57078,-126.70066,NA,NA,NA,Yes,30,1000,0,0,10,200,2,10,1,10,NA,NA,1,SEMSP,NA
JE123N1,JE123,1,targeted,NA,NA,NA,NA,NA,NA,NA,No,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEMSP,NA
